cue_group,orig_present_fraction_label0,orig_present_fraction_label1,mean_jaccard_label0,mean_jaccard_label1,mean_jaccard_pos_minus_neg,mean_missing_count_label0,mean_missing_count_label1,mean_presence_preserved_label0,mean_presence_preserved_label1,mean_presence_preserved_pos_minus_neg
permission,0.7774647887323943,0.792341678939617,0.4291079812206573,0.838573883161512,0.4094659019408547,0.5873239436619718,0.1737849779086892,0.7704225352112676,0.9536082474226804,0.1831857122114127
condition,0.4859154929577465,0.4101620029455081,0.6753521126760563,0.9302896416298476,0.2549375289537913,0.3633802816901408,0.0714285714285714,0.7028169014084507,0.9410898379970544,0.2382729365886037
negation,0.4126760563380282,0.3674521354933726,0.6830985915492958,0.9045778105056456,0.2214792189563498,0.3746478873239436,0.1082474226804123,0.7070422535211267,0.9175257731958762,0.2104835196747495
use_processing,0.6211267605633802,0.6310751104565537,0.7636150234741785,0.9539150711831124,0.1903000477089338,0.1746478873239436,0.0589101620029455,0.8746478873239436,0.9830633284241532,0.1084154411002096
data_object_health_record,0.428169014084507,0.5294550810014728,0.8147887323943662,0.9759450171821306,0.1611562847877643,0.1309859154929577,0.0279823269513991,0.8633802816901408,0.9860088365243004,0.1226285548341595
prohibition,0.2830985915492958,0.2488954344624447,0.7746478873239436,0.9300441826215022,0.1553962952975586,0.2084507042253521,0.0640648011782032,0.7929577464788733,0.9396170839469808,0.1466593374681075
data_object_biospecimen,0.5591549295774648,0.5257731958762887,0.8484037558685447,0.989629356897398,0.1412256010288533,0.2647887323943662,0.0213549337260677,0.8704225352112676,0.9941089837997056,0.123686448588438
choice_withdrawal_control,0.2549295774647887,0.2393225331369661,0.8618544600938968,0.9753313696612664,0.1134769095673696,0.2028169014084507,0.0456553755522827,0.8788732394366198,0.9867452135493372,0.1078719741127174
purpose_research,0.571830985915493,0.5677466863033873,0.8717136150234741,0.9745336278841432,0.1028200128606691,0.1126760563380281,0.0316642120765832,0.9140845070422536,0.9830633284241532,0.0689788213818995
time_duration_future,0.3352112676056338,0.3188512518409425,0.893661971830986,0.9896907216494846,0.0960287498184986,0.1183098591549295,0.0110456553755522,0.9183098591549296,0.991899852724595,0.0735899935696654
restriction_scope,0.2746478873239437,0.2776141384388807,0.8776995305164319,0.9727540500736376,0.0950545195572056,0.0915492957746478,0.0132547864506627,0.9,0.975699558173785,0.0756995581737849
collection_obtaining,0.2788732394366197,0.2430044182621502,0.8798122065727699,0.9566764850270004,0.0768642784542305,0.1450704225352112,0.040500736377025,0.895774647887324,0.963917525773196,0.068142877885872
recipient_actor,0.3140845070422535,0.3379970544918999,0.9200704225352112,0.9888316151202748,0.0687611925850636,0.1028169014084507,0.0169366715758468,0.9380281690140844,0.9926362297496318,0.0546080607355474
sharing_disclosure_transfer,0.2112676056338028,0.2621502209131075,0.9157276995305164,0.9808541973490428,0.0651264978185264,0.0915492957746478,0.0184094256259204,0.9323943661971832,0.9896907216494846,0.0572963554523013
access_contact_return_results,0.1690140845070422,0.1546391752577319,0.921830985915493,0.9851497299950908,0.0633187440795978,0.0704225352112676,0.0103092783505154,0.9253521126760564,0.9860088365243004,0.0606567238482439
